Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH
Bradford East;Imran Hussain;5;West Yorkshire;75167;3450;14098;1910;4952;2571;0;7909;2326
Bradford South;Judith Cummins;5;West Yorkshire;71002;4853;11833;954;7441;3366;0;513;4082
Bradford West;Naz Shah;5;West Yorkshire;77897;3055;11724;756;2958;3690;0;11017;3881
Braintree;James Cleverly;9;Essex;77781;17414;13744;2879;11346;2878;0;0;767
Brent East;Dawn Butler;11;Brent;77257;6323;19370;2635;2024;3729;0;1052;2669
Brent West;Barry Gardiner;11;Brent;79937;13465;17258;3013;2061;2805;0;2774;0
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;79283;10183;20007;3863;3940;4029;0;2746;486
Brentwood and Ongar;Alex Burghart;9;Essex;75352;17731;11082;5809;11751;1770;0;0;189
Bridgwater;Ashley Fox;10;Somerset;71571;12281;10932;5781;8913;1720;0;168;334
Bridlington and the Wolds;Charlie Dewhirst;5;Humber area;72931;14846;11721;3097;10350;1595;0;0;1328
Brigg and Immingham;Martin Vickers;5;Humber area;74297;15905;12662;1442;10594;1905;0;0;0
Brighton Kemptown and Peacehaven;Chris Ward;12;East Sussex;68784;8230;17893;3949;0;7997;0;0;2617
Brighton Pavilion;Siân Berry;12;East Sussex;74786;3975;14519;1604;2836;28809;0;0;620
Bristol Central;Carla Denyer;10;Bristol area;62735;1998;14132;1162;1338;24539;0;0;196
Bristol East;Kerry McCarthy;10;Bristol area;75917;6435;20748;2713;0;14142;0;0;2071
Bristol North East;Damien Egan;10;Bristol area;70076;6216;19004;1964;5418;7837;0;0;1550
Bristol North West;Darren Jones;10;Bristol area;74869;6773;24058;4159;4863;8389;0;0;222
Bristol South;Karin Smyth;10;Bristol area;75533;4947;18521;2721;6195;10855;0;0;164
Broadland and Fakenham;Jerome Mayhew;9;Norfolk;76859;16322;15603;5526;8859;3203;0;0;0
Bromley and Biggin Hill;Peter Fortune;11;Bromley;70713;15929;15627;4352;8203;2583;0;0;94
Bromsgrove;Bradley Anthony Thomas;7;Hereford and Worcestershire;76468;16533;13517;7391;9584;1675;0;144;1561
Broxbourne;Lewis Christopher Cocking;9;Hertfordshire;75187;15810;12952;2688;8782;2461;0;0;259
Broxtowe;Juliet Campbell;8;Nottinghamshire;71923;11158;19561;3807;8402;3488;0;388;1034
Buckingham and Bletchley;Callum Anderson;12;Buckinghamshire;74832;15181;17602;4300;7468;2590;0;0;500
Buckinghamshire Mid;Greg Smith;12;Buckinghamshire;75415;20150;9171;14278;6926;2942;0;0;484
Burnley;Oliver Ryan;4;Lancashire;74951;8058;12598;9178;7755;1518;0;0;612
Burton and Uttoxeter;Jacob Collier;7;Staffordshire;77994;13956;16222;1663;9611;2119;0;2056;0
Bury North;James Frith;4;Western Manchester;77703;12681;19625;1317;7385;1747;0;1917;848
Bury South;Christian Wakeford;4;Western Manchester;75339;9886;19247;1796;6865;2715;0;1023;682
Bury St Edmunds and Stowmarket;Peter Prinsley;9;Suffolk;77599;15293;16745;3154;8595;5761;0;0;1345
Calder Valley;Josh Fenton-Glynn;5;West Yorkshire;77364;13055;22046;2587;7644;3701;0;0;575
Camborne and Redruth;Perran Moon;10;Cornwall;74402;11554;19360;4113;8952;2840;0;0;966
Cambridge;Daniel Zeichner;9;Cambridgeshire;70315;5073;19614;8536;0;6842;0;951;1084
Cambridgeshire North East;Steve Barclay;9;Cambridgeshire;71511;16246;8008;2716;9057;2001;0;190;958
Cambridgeshire North West;Sam Carling;9;Cambridgeshire;75915;14746;14785;3192;8741;2960;0;0;0
Cambridgeshire South;Pippa Heylings;9;Cambridgeshire;77327;15063;6106;25704;4897;2656;0;0;459
Cannock Chase;Josh Newbury;7;Staffordshire;76974;12546;15671;1029;11570;2137;0;0;0
Canterbury;Rosie Duffield;12;Kent;71171;10878;19531;3812;6805;5920;0;0;285
Carlisle;Julie Minns;4;Cumbria;77863;12929;18129;2982;9295;1922;0;0;722
Carshalton and Wallington;Bobby Dean;11;Sutton;74362;12221;6108;20126;5941;1517;0;441;316
Castle Point;Rebecca Harris;9;Essex;70967;15485;9455;1341;12234;2118;0;0;0
Chatham and Aylesford;Tristan Osborne;12;Kent;75109;11691;13689;2175;9989;2504;0;340;457
Cheadle;Tom Morrison;4;Eastern Manchester;74383;11446;7909;23681;5149;1630;0;811;105
Chelmsford;Marie Goldman;9;Essex;76972;15461;6108;20214;6754;1588;0;105;486
Chelsea and Fulham;Ben Coleman;11;Hammersmith and Fulham;78468;18404;18556;3611;3144;2798;0;538;65
Cheltenham;Max Wilkinson;10;Gloucestershire;76143;17866;2665;25076;0;3160;0;0;775
Chesham and Amersham;Sarah Green;12;Buckinghamshire;74889;18971;3502;24422;5310;1673;0;466;111
Cheshire Mid;Andrew Graham Cooper;4;Cheshire;70384;9530;18457;2465;7967;1967;0;0;1123
Chester North and Neston;Samantha Dixon;4;Cheshire;70215;10388;22258;2076;5870;4102;0;0;0
Chester South and Eddisbury;Aphra Brandreth;4;Cheshire;74284;19905;16848;5430;6414;2278;0;0;1611
Chesterfield;Toby Perkins;8;Derbyshire;71654;8496;19316;2553;7897;2682;0;248;363
Chichester;Jessica Brown-Fuller;12;West Sussex;78374;13368;3175;25540;7859;1815;0;0;190
Chingford and Woodford Green;Iain Duncan Smith;11;Waltham Forest;75178;17281;12524;1275;3653;1334;0;12445;0
Chippenham;Sarah Gibson;10;Wiltshire;73876;14414;3925;22552;6127;1954;0;0;540
Chipping Barnet;Dan Tomlinson;11;Barnet;78038;18671;21585;2614;3986;3442;0;0;561
Chorley;Lindsay Hoyle;4;Lancashire;74575;0;25238;0;0;4663;0;0;4063
Christchurch;Christopher Chope;10;Dorset;71064;16941;7762;9486;8961;1900;0;0;2285
Cities of London and Westminster;Rachel Blake;11;City of Westminster;73369;12594;15302;4335;2752;2844;0;727;661
Clacton;Nigel Farage;9;Essex;78703;12820;7448;2016;21225;1935;0;0;514
Clapham and Brixton Hill;Bell Ribeiro-Addy;11;Lambeth;74435;4360;24166;6161;1758;5768;0;0;528
Colchester;Pam Cox;9;Essex;78662;10554;18804;6393;6664;2414;0;0;74
Colne Valley;Paul Davies;5;West Yorkshire;72638;14007;18970;2007;7298;3480;0;0;459
Congleton;Sarah Alison Russell;4;Cheshire;74243;15488;18875;2785;8245;2007;0;0;2725
Corby and East Northamptonshire;Lee Barron;8;Northamptonshire;78787;14689;21020;2191;8760;2507;0;0;422
Cornwall North;Ben Maguire;10;Cornwall;76832;14137;2958;24904;8444;1335;0;0;277
Cornwall South East;Anna Gelderd;10;Cornwall;72728;13759;15670;8284;9311;1999;0;0;263
Cotswolds North;Geoffrey Clifton-Brown;10;Gloucestershire;72513;17426;8593;14069;6502;3191;0;0;448
Cotswolds South;Roz Savage;10;Gloucestershire;71971;17988;3942;22961;5146;1564;0;0;686
Coventry East;Mary Creagh;7;Coventry and Solihull;75801;6240;18308;1227;6685;2730;0;1027;797
Coventry North West;Taiwo Owatemi;7;Coventry and Solihull;75057;8522;19696;1931;7950;3420;0;0;511
Coventry South;Zarah Sultana;7;Coventry and Solihull;76262;10160;20361;2531;5711;2363;0;777;828
Cramlington and Killingworth;Emma Foody;3;Newcastle area;76228;8592;22274;1898;9454;2144;0;0;1032
Crawley;Peter Lamb;12;West Sussex;75569;12218;17453;2205;8447;2621;0;2407;291
Crewe and Nantwich;Connor Naismith;4;Cheshire;78423;11110;20837;2286;9602;2151;0;373;838
Croydon East;Natasha Dawn Irons;11;Croydon;76660;11716;18541;3563;5862;4097;0;0;0
Croydon South;Chris Philp;11;Croydon;74968;19757;17444;4384;4149;2859;0;612;173
Croydon West;Sarah Jones;11;Croydon;77942;6386;20612;3667;2148;3851;0;708;750
Dagenham and Rainham;Margaret Mullane;11;Barking and Dagenham;76478;6926;16571;1033;9398;4184;0;0;755
Darlington;Lola McEvoy;3;Durham;70763;14323;16621;1735;6852;2847;0;0;0
Dartford;Jim Dickson;12;Kent;75426;14200;15392;2184;9523;3189;0;0;0
Daventry;Stuart Andrew;8;Northamptonshire;80879;17872;14860;6755;10636;2959;0;0;0
Derby North;Catherine Atkinson;8;Derbyshire;71900;9704;18619;1822;7488;3286;0;0;0
Derby South;Baggy Shanker;8;Derbyshire;72952;5192;14503;1807;8501;1899;0;5205;292
Derbyshire Dales;John Michael Whitby;8;Derbyshire;73317;17409;17759;4860;7728;2830;0;0;686
Derbyshire Mid;Jonathan Peter Tom Davies;8;Derbyshire;69281;15468;17346;2361;8356;3547;0;150;315
Derbyshire North East;Louise Elizabeth Jones;8;Derbyshire;73139;15838;17591;2159;7899;2271;0;0;108
Derbyshire South;Samantha Niblett;8;Derbyshire;73714;13566;17734;2134;8979;1941;0;0;1383
Devon Central;Mel Stride;10;Devon;75385;16831;16770;8232;7784;3338;0;0;477
Devon North;Ian Roome;10;Devon;79079;15076;3216;21820;8137;2348;0;0;820
Devon South;Caroline Voaden;10;Devon;70755;15413;3066;22540;6363;1497;0;0;125
Devon South West;Rebecca Smith;10;Devon;77600;17916;15804;5551;9361;2925;0;0;685
Dewsbury and Batley;Iqbal Hussain Mohamed;5;West Yorkshire;71685;4182;8707;1340;6152;2048;0;15641;0
Didcot and Wantage;Olly Glover;12;Oxfordshire;80689;15560;8045;21793;6400;2693;0;0;242
Doncaster Central;Sally Jameson;5;South Yorkshire;74678;7964;17515;1199;7886;1880;0;758;742
Doncaster East and the Isle of Axholme;Lee Pitcher;5;South Yorkshire;70154;12811;15122;1166;8487;1400;0;0;146
Doncaster North;Ed Miliband;5;South Yorkshire;69759;7105;16231;1045;0;1778;0;0;4843
Dorking and Horley;Chris Coghlan;12;Surrey;71850;15530;4053;20921;6898;2563;0;0;0
Dorset Mid and North Poole;Vikki Slade;10;Dorset;75294;20090;4566;21442;0;2355;0;0;1061
Dorset North;Simon Hoare;10;Dorset;72690;18208;4370;16619;7894;2082;0;0;510
Dorset South;Lloyd Hatton;10;Dorset;75924;14611;15659;8017;8168;2153;0;0;429
Dorset West;Edward Morello;10;Dorset;75998;19210;3086;26999;0;2288;0;0;1022
Dover and Deal;Mike Tapp;12;Kent;76406;10370;18940;2595;11355;3106;0;98;1311
Droitwich and Evesham;Nigel Huddleston;7;Hereford and Worcestershire;76624;19975;10980;5131;9456;3828;0;0;239
Dudley;Sonia Kumar;7;Black Country;70151;10315;12215;1056;9442;1154;0;621;993
Dulwich and West Norwood;Helen Hayes;11;Lambeth;74265;3873;27356;3485;1801;8567;0;0;296
Dunstable and Leighton Buzzard;Alex Mayer;9;Bedfordshire;76742;14309;14976;6497;8071;2115;0;0;77
Durham North;Luke Akehurst;3;Durham;73235;6492;16562;4208;10689;2366;0;928;320
Durham, City of;Mary Foy;3;Durham;70582;5221;19131;5920;7374;2803;0;0;178
Ealing Central and Acton;Rupa Huq;11;Ealing;78436;8345;22340;6056;3105;5444;0;1766;713
Ealing North;James Murray;11;Ealing;74820;8144;20663;2543;3948;4056;0;3139;739
Ealing Southall;Deirdre Costigan;11;Ealing;78669;7207;23000;2832;2585;4356;0;4237;2599
Earley and Woodley;Yuan Yang;12;Berkshire;73548;17361;18209;6142;0;3418;0;0;784
Easington;Grahame Morris;3;Durham;69411;3753;16774;811;10232;1173;0;0;1581
East Grinstead and Uckfield;Mims Davies;12;West Sussex;75385;19319;10440;10839;0;5277;0;0;4518
East Ham;Stephen Timms;11;Newham;79086;3876;19570;1210;1340;4226;0;6707;963
Eastbourne;Josh Babarinde;12;East Sussex;72592;11538;2689;23742;6061;1421;0;0;154
Eastleigh;Liz Jarvis;12;Hampshire;69965;14424;7005;15970;6151;2403;0;0;467
Edmonton and Winchmore Hill;Kate Osamor;11;Enfield;75792;7888;20520;2721;3501;3681;0;668;2066
Ellesmere Port and Bromborough;Justin Madders;4;Cheshire;70799;5210;24186;2328;7278;2706;0;0;256
Eltham and Chislehurst;Clive Efford;11;Greenwich;74224;11640;20069;2423;7428;3079;0;356;571
Ely and East Cambridgeshire;Charlotte Cane;9;Cambridgeshire;79112;16632;9160;17127;6443;2359;0;0;648
Enfield North;Feryal Clark;11;Enfield;78770;8632;21368;2517;5146;3713;0;668;1448
Epping Forest;Neil Hudson;9;Essex;72229;18038;12356;5268;0;2486;0;0;3605
Epsom and Ewell;Helen Maguire;12;Surrey;77530;16988;8325;20674;5795;1745;0;0;998
Erewash;Adam Thompson;8;Derbyshire;71497;11365;17224;2426;9162;2478;0;0;351
Erith and Thamesmead;Abena Oppong-Asare;11;Greenwich;78886;5564;22246;1872;5944;3482;0;1071;200
Esher and Walton;Monica Harding;12;Surrey;74042;16312;2846;28315;4777;1396;0;0;234
Essex North West;Kemi Badenoch;9;Essex;79824;19360;16750;6055;7668;2846;0;0;1707
Exeter;Steve Race;10;Devon;67840;6288;18225;4201;4914;5907;0;0;660
Exmouth and Exeter East;David George Reed;10;Devon;79983;14728;14607;11387;7085;2331;0;0;1178
Fareham and Waterlooville;Suella Braverman;12;Hampshire;77691;17561;11482;9533;9084;2036;0;0;427
Farnham and Bordon;Gregory Stafford;12;Surrey;75918;18951;7328;17602;6217;2496;0;0;421
Faversham and Mid Kent;Helen Whately;12;Kent;74301;14816;13347;4158;9884;4218;0;0;171
Feltham and Heston;Seema Malhotra;11;Hounslow;76983;8195;16139;1821;5130;2543;0;2201;2858
Filton and Bradley Stoke;Claire Hazelgrove;10;Bristol area;77584;12905;22905;3596;6819;4142;0;0;0
Finchley and Golders Green;Sarah Sackman;11;Barnet;77500;17276;21857;3375;2598;3107;0;0;1076
Folkestone and Hythe;Tony Vaughan;12;Kent;70056;11291;15020;1736;10685;3954;0;0;560
Forest of Dean;Matt Bishop;10;Gloucestershire;72052;16095;16373;2604;8194;4735;0;0;90
Frome and East Somerset;Anna Sabine;10;Somerset;70378;11165;6416;16580;6441;5083;0;0;1031
Fylde;Andrew Snowden;4;Lancashire;77100;15917;15356;2120;8295;1560;0;0;4712
Gainsborough;Sir Edward Leigh;8;Lincolnshire;75836;16636;13104;5001;9916;1832;0;0;196
Gateshead Central and Whickham;Mark Ferguson;3;Newcastle area;69823;4628;18245;4987;8601;3217;0;0;539
Gedling;Michael Payne;8;Nottinghamshire;77006;11397;23278;2473;8211;3122;0;0;241
Gillingham and Rainham;Naushabah Khan;12;Kent;73523;11590;15562;2248;8792;2318;0;0;630
Glastonbury and Somerton;Sarah Joanne Dyke;10;Somerset;72982;13753;3111;20364;7678;2736;0;0;0
Gloucester;Alex McIntyre;10;Gloucestershire;79475;13041;16472;4759;7307;2307;0;974;832
Godalming and Ash;Jeremy Hunt;12;Surrey;74168;23293;2748;22402;4815;1243;0;0;195
Goole and Pocklington;David Davis;5;Humber area;78287;18981;15409;3380;9054;2451;0;0;467
Gorton and Denton;Andrew Gwynne;4;Central Manchester;78125;2888;18555;1399;5142;4810;0;3766;0
Gosport;Caroline Dinenage;12;Hampshire;73261;17830;11776;4039;7983;1948;0;0;701
Grantham and Bourne;Gareth Davies;8;Lincolnshire;73280;16770;12274;2027;9393;2570;0;0;3091
Gravesham;Lauren Sullivan;12;Kent;73088;13911;16623;1534;8910;2254;0;0;0
Great Grimsby and Cleethorpes;Melanie Onn;5;Humber area;78875;8269;15336;1036;10533;1115;0;0;330
Great Yarmouth;Rupert Lowe;9;Norfolk;73317;10034;12959;1102;14385;1736;0;0;532
Greenwich and Woolwich;Matthew Pennycook;11;Greenwich;73573;4863;23999;3865;3305;5633;0;570;484
Guildford;Zöe Franklin;12;Surrey;70734;14508;3931;22937;4395;2268;0;0;255
Hackney North and Stoke Newington;Diane Abbott;11;Hackney;77797;3457;24355;1562;1283;9275;0;0;1027
Hackney South and Shoreditch;Meg Hillier;11;Hackney;78262;2076;24724;1996;1601;9987;0;1007;310
Halesowen;Alex Ballinger;7;Black Country;68549;10659;15023;2261;8484;2151;0;0;0
Halifax;Kate Alexandra Dearden;5;West Yorkshire;77516;7866;14135;2359;7811;4133;0;2543;1367
Hamble Valley;Paul Holmes;12;Hampshire;80537;19671;8753;14869;8216;2310;0;0;185
Hammersmith and Chiswick;Andy Slaughter;11;Hammersmith and Fulham;75860;8783;24073;4292;2929;4468;0;439;1037
Hampshire East;Damian Hinds;12;Hampshire;71965;18509;4967;17234;6476;2404;0;0;516
Hampshire North East;Alex Brewer;12;Hampshire;76975;20544;5057;21178;6673;1425;0;0;683
Hampshire North West;Kit Malthouse;12;Hampshire;78629;17770;14482;7626;7734;2745;0;0;466
Hampstead and Highgate;Tulip Siddiq;11;Camden;80029;8462;23432;6181;2940;6630;0;0;905
Harborough, Oadby and Wigston;Neil O'Brien;8;Leicestershire;77407;18614;16236;4732;6332;4269;0;0;203
Harlow;Christopher John Vince;9;Essex;74683;13809;16313;1350;9461;2267;0;0;157
Harpenden and Berkhamsted;Victoria Collins;9;Hertfordshire;72242;16574;4061;27282;4245;1951;0;0;223
Harrogate and Knaresborough;Tom Gordon;5;North Yorkshire;77970;15738;4153;23976;5679;1762;0;0;756
Harrow East;Bob Blackman;11;Harrow;76386;25466;13786;1511;2188;2006;0;723;2097
Harrow West;Gareth Thomas;11;Harrow;79902;13191;19833;2404;2639;2438;0;0;4736
Hartlepool;Jonathan Brash;3;Teesside;71437;7767;16414;572;8716;834;0;248;960
Harwich and North Essex;Bernard Jenkin;9;Essex;76579;16522;15360;3561;9806;2794;0;0;0
Hastings and Rye;Helena Dollimore;12;East Sussex;75939;10481;19134;2586;7401;5761;0;362;265
Havant;Alan Mak;12;Hampshire;72346;12986;12894;3275;9959;2861;0;211;0
Hayes and Harlington;John McDonnell;11;Hillingdon;74405;8374;20405;1316;4114;2131;0;1975;0
Hazel Grove;Lisa Smart;4;Eastern Manchester;72843;9011;10828;17328;6955;1763;0;0;113
Hemel Hempstead;David Taylor;9;Hertfordshire;71038;11987;16844;5096;7689;2492;0;0;0
Hendon;David Pinto-Duschinsky;11;Barnet;74865;15840;15855;1966;3038;2667;0;1518;372
Henley and Thame;Freddie Van Mierlo;12;Oxfordshire;73749;17637;3574;23904;5213;2008;0;0;821
Hereford and South Herefordshire;Jesse Norman;7;Hereford and Worcestershire;72203;14871;13592;5325;8395;3175;0;0;214
Herefordshire North;Ellie Chowns;7;Hereford and Worcestershire;72797;15842;3205;1436;8048;21736;0;0;95
Herne Bay and Sandwich;Roger Gale;12;Kent;77841;17243;14744;2709;10602;3529;0;0;0
Hertford and Stortford;Josh Dean;9;Hertfordshire;78915;16060;20808;4167;8325;4373;0;0;276
Hertfordshire North East;Chris Hinchliff;9;Hertfordshire;77090;16435;18358;5463;8462;3802;0;0;0
Hertfordshire South West;Gagan Mohindra;9;Hertfordshire;71353;16458;9637;12002;6790;2532;0;0;835
Hertsmere;Oliver Dowden;9;Hertfordshire;73518;21451;13459;3710;6584;2267;0;0;536
Hexham;Joe Morris;3;Northumberland;76431;20275;23988;2376;0;2467;0;0;2722
Heywood and Middleton North;Elsie Jane Blundell;4;Eastern Manchester;74786;6423;15069;2302;8987;0;0;0;4349
High Peak;Jonathan Brian Pearce;8;Derbyshire;74385;14625;22533;1707;6959;3382;0;0;0
Hinckley and Bosworth;Luke Evans;8;Leicestershire;76431;17032;8601;11624;8817;1514;0;0;211
Hitchin;Alistair Strathern;9;Hertfordshire;75080;14958;23067;4913;6760;2631;0;0;181
Holborn and St Pancras;Keir Starmer;11;Camden;71300;2776;18884;2236;2371;4030;0;7312;993
Honiton and Sidmouth;Richard Foord;10;Devon;75537;16307;2947;23007;6289;1394;0;0;711
Hornchurch and Upminster;Julia Lopez;11;Havering;75438;15260;12939;2381;13317;2620;0;0;394
Hornsey and Friern Barnet;Catherine West;11;Haringey;69885;4011;28535;6099;1989;7060;0;766;182
Horsham;John Milne;12;West Sussex;79150;19115;5979;21632;6116;2137;0;0;520
Houghton and Sunderland South;Bridget Phillipson;3;Newcastle area;78448;5514;18837;2290;11668;1723;0;0;0
Hove and Portslade;Peter Kyle;12;East Sussex;74063;6630;27209;3046;4558;7418;0;0;3048
Huddersfield;Harpreet Uppal;5;West Yorkshire;77795;6559;15101;1741;6196;10568;0;0;0
Hull East;Karl Turner;5;Humber area;70650;2715;13047;3252;9127;1675;0;0;0
Hull North and Cottingham;Diana Johnson;5;Humber area;75280;4897;18480;3246;7801;2322;0;0;1482
Hull West and Haltemprice;Emma Hardy;5;Humber area;73252;6924;17875;2625;8896;1748;0;0;110
Huntingdon;Benjamin Obese-Jecty;9;Cambridgeshire;79074;18257;16758;4821;8039;3042;0;0;1123
Hyndburn;Sarah Smith;4;Lancashire;76126;10499;12186;1210;7541;4938;0;0;0
Ilford North;Wes Streeting;11;Redbridge;77835;9619;15647;1088;3621;1794;0;15119;0
Ilford South;Jas Athwal;11;Redbridge;80993;6142;16537;1340;2329;3437;0;9643;1742
Ipswich;Jack Simon Abbott;9;Suffolk;76319;11696;19099;2241;7027;3652;0;0;356
Isle of Wight East;Joe Robertson;12;Hampshire;55855;10427;6264;3550;7104;6313;0;0;420
Isle of Wight West;Richard Quigley;12;Hampshire;55406;10063;13240;2726;5834;2310;0;0;117
Islington North;Jeremy Corbyn;11;Islington;72582;1950;16873;1661;1710;2660;0;24120;32
Islington South and Finsbury;Emily Thornberry;11;Islington;74122;3584;22946;4045;3388;7491;0;0;1300
Jarrow and Gateshead East;Kate Osborne;3;Newcastle area;70272;3354;18856;1740;9892;2384;0;0;502
Keighley and Ilkley;Robbie Moore;5;West Yorkshire;74367;18589;16964;970;4782;2447;0;0;2425
Kenilworth and Southam;Jeremy Wright;7;Warwickshire;74923;19395;12821;10464;6920;3125;0;0;595
Kensington and Bayswater;Joe Powell;11;Kensington and Chelsea;77306;14122;17025;2910;2514;2732;0;1824;781
Kettering;Rosie Wrighting;8;Northamptonshire;79390;14189;18009;1357;8468;7004;0;0;1204
